Search	VideoID	PublishedAt	ChannelId	ChannelTitle	Title	Description
www.ibict.br	DOiB50QUM-k	2019-08-20T12:52:45Z	UCj0T5TXf9bYGnyrac-BOU0A	ACV Ibict	BRACV 2019: Tiago Braga, do IBICT	Depoimento gravado durante as atividades do III Fórum Brasileiro de Avaliação do Ciclo de Vida – BRACV 2019, que aconteceu ...
www.ibict.br	ngAYT69zvxY	2021-03-25T20:26:43Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Juliana Sousa, Leonard Campello, Flávio Jesus e Washington Segundo	Nesta live nossos convidados abordam a “Curadoria de metadados em repositórios de publicações e bibliotecas digitais de teses ...
www.ibict.br	qqXUz9dhgpg	2015-06-30T14:11:53Z	UCIxEF-XVdn4K8gg2GNa6IAw	Divisão de Relações Internacionais / Ibict	Entrevista com Cecília Leite, diretora do IBICT	Em entrevista à Divisão de Relações Internacionais do Instituto Brasileiro de Informação em Ciência e Tecnologia (IBICT), Cecília ...
www.ibict.br	c4Rd2RAotfE	2020-06-30T23:33:01Z	UCasTH2XXGnPXx3WcYA8cRJA	PPGCI IBICT UFRJ	Colóquio PPGCI 50 anos... Travessias	O Colóquio reúne personagens do universo do ensino e da pesquisa refletindo a história e a contemporaneidade do primeiro ...
www.ibict.br	2EUhHBA_e80	2020-11-18T20:15:46Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Eny Marcelino, Fabiene Diógenes, Elmira Simeão e Regina Belluzzo.	No quadro QuartaÀsQuatro desta semana nossos convidados discutem o tema “A Competência em informação e midiática: ...
www.ibict.br	b3Rh6aYxM9k	2021-05-05T20:20:14Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Lena Vania Ribeiro Pinheiro e Gustavo Saldanha	Na live desta semana, nossos convidados abordam a 'Da gênese à contemporaneidade da comunicação e divulgação ...
www.ibict.br	Voeo7xQI1NI	2021-04-28T20:49:07Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Gustavo Saldanha e Fernanda Valle	Na live desta semana, nossos convidados abordam a 'Filosofia da Linguagem e Espectro Autista' Gustavo Saldanha Possui ...
www.ibict.br	bWE1M9QgeJ4	2022-05-03T19:15:08Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	IbictCast #5 - O que são os Princípios FAIR?	A pesquisadora e professora do Ibict, Luana Sales, fala sobre os Princípios FAIR. Os princípios FAIR são aplicados na gestão de ...
www.ibict.br	E-SGh3rNN54	2020-10-28T20:20:58Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Fhillipe Campos e Raphael Vilas Boas	No quadro QuartaÀsQuatro desta semana nossos convidados discutem o tema “Revistas científicas brasileiras: acesso aberto, ...
www.ibict.br	hYUpkGQhlt4	2019-08-23T12:49:39Z	UCj0T5TXf9bYGnyrac-BOU0A	ACV Ibict	BRACV 2019: Thiago Rodrigues, do IBICT	Depoimento gravado durante as atividades do III Fórum Brasileiro de Avaliação do Ciclo de Vida – BRACV 2019, que aconteceu ...
www.ibict.br	L1xVDPmYkhE	2020-05-22T07:06:11Z	UCe1WWtudbnztmtkL5jmfJxQ	ADUnB	Desafios da educação pública libertadora!	Docentes debatem os avanços das plataformas empresariais nas universidade A proposta é refletir sobre a origem e ...
www.ibict.br	m8C9VQogfE8	2022-08-31T15:35:43Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	II Seminário de Ciência de Dados para a Ciência – Manhã de 31/08/2022	Consulte a programação detalhada do Seminário em: ...
